"","Sitio","Long","Lat","ViaSentido","DATA","VMD"
"170","01385220",-38.50637,-3.72677,"R. DEPUTADO MOREIRA DA ROCHA [L-O]","2017-01",14384
"171","01385223",-38.576158,-3.776693,"AV. AUGUSTO DOS ANJOS [N-S]","2017-01",12790
"172","01385224",-38.57624,-3.776856,"AV. AUGUSTO DOS ANJOS [S-N]","2017-01",13090
"173","01385225",-38.530582,-3.75419,"AV. EDUARDO GIRAO [L-O]","2017-01",14425
"174","01385225",-38.530582,-3.754188,"AV. EDUARDO GIRAO [L-O]","2017-01",14425
"175","01385226",-38.573816,-3.81213,"AV. PRES. COSTA E SILVA [O-L]","2017-01",8806
"176","01385227",-38.55143,-3.785855,"AV. DR. SILAS MUNGUBA [O-L]","2017-01",18213
"177","01385228",-38.551204,-3.7858,"AV. DR. SILAS MUNGUBA [L-O]","2017-01",21156
"178","01385230",-38.548109,-3.787492,"AV. DR. SILAS MUNGUBA [O-L]","2017-01",21171
"179","01385230",-38.548109,-3.78749,"AV. DR. SILAS MUNGUBA [O-L]","2017-01",21171
"180","01385231",-38.547791,-3.78761,"AV. DR. SILAS MUNGUBA [L-O]","2017-01",22027
"181","01385231",-38.547791,-3.787607,"AV. DR. SILAS MUNGUBA [L-O]","2017-01",22027
"182","01385232",-38.561966,-3.777322,"AV. DR. SILAS MUNGUBA [L-O]","2017-01",21353
"183","01385232",-38.561966,-3.77732,"AV. DR. SILAS MUNGUBA [L-O]","2017-01",21353
"184","01385233",-38.495635,-3.821213,"AV. FREI CIRILO [S-N]","2017-01",14815
"185","01385233",-38.495635,-3.82121,"AV. FREI CIRILO [S-N]","2017-01",14815
"186","01385234",-38.542151,-3.74427,"AV. DA UNIVERSIDADE [S-N]","2017-01",19535
"187","01385234",-38.542151,-3.744266,"AV. DA UNIVERSIDADE [S-N]","2017-01",19535
"188","01385235",-38.530124,-3.81407,"AV. JUSCELINO KUBITSCHEK [N-S]","2017-01",21650
"189","01385235",-38.530124,-3.814066,"AV. JUSCELINO KUBITSCHEK [N-S]","2017-01",21650
"190","01385236",-38.529993,-3.81418,"AV. JUSCELINO KUBITSCHEK [S-N]","2017-01",21777
"191","01385236",-38.529993,-3.814175,"AV. JUSCELINO KUBITSCHEK [S-N]","2017-01",21777
"192","01385237",-38.549178,-3.748622,"AV. JOSE BASTOS [N-S]","2017-01",28523
"193","01385237",-38.549178,-3.74862,"AV. JOSE BASTOS [N-S]","2017-01",28523
"194","01385238",-38.498636,-3.73615,"AV. SANTOS DUMONT [O-L]","2017-01",22541
"195","01385238",-38.498636,-3.736147,"AV. SANTOS DUMONT [O-L]","2017-01",22541
"196","01385239",-38.498368,-3.736112,"AV. DESEMBARGADOR MOREIRA [N-S]","2017-01",8133
"197","01385239",-38.498368,-3.73611,"AV. DESEMBARGADOR MOREIRA [N-S]","2017-01",8133
"198","01385240",-38.493561,-3.737791,"AV. SANTOS DUMONT [O-L]","2017-01",26362
"199","01385240",-38.493561,-3.73779,"AV. SANTOS DUMONT [O-L]","2017-01",26362
"200","01385241",-38.49348,-3.73773,"AV. SEN. VIRGILIO TAVORA [N-S]","2017-01",10221
"201","01385241",-38.49348,-3.737728,"AV. SEN. VIRGILIO TAVORA [N-S]","2017-01",10221
"202","01385242",-38.492518,-3.73495,"AV. SEN. VIRGILIO TAVORA [S-N]","2017-01",11448
"203","01385242",-38.492518,-3.734947,"AV. SEN. VIRGILIO TAVORA [S-N]","2017-01",11448
"204","01385243",-38.492422,-3.734861,"AV. DOM LUIS [L-O]","2017-01",37953
"205","01385243",-38.492422,-3.73486,"AV. DOM LUIS [L-O]","2017-01",37953
"206","01385244",-38.486929,-3.735896,"AV. JULIO ABREU [L-O]","2017-01",31300
"207","01385245",-38.475104,-3.74369,"AV. SANTOS DUMONT [L-O]","2017-01",10464
"208","01385245",-38.475104,-3.743687,"AV. SANTOS DUMONT [L-O]","2017-01",10464
"209","01385246",-38.502774,-3.73486,"AV. SANTOS DUMONT [O-L]","2017-01",3048
"210","01385246",-38.502774,-3.734858,"AV. SANTOS DUMONT [O-L]","2017-01",3048
"211","01385247",-38.501806,-3.73517,"AV. SANTOS DUMONT [O-L]","2017-01",1805
"212","01385247",-38.501806,-3.735167,"AV. SANTOS DUMONT [O-L]","2017-01",1805
"213","01385248",-38.500803,-3.735494,"AV. SANTOS DUMONT [O-L]","2017-01",3045
"214","01385248",-38.500803,-3.73549,"AV. SANTOS DUMONT [O-L]","2017-01",3045
"215","01385249",-38.499902,-3.73579,"AV. SANTOS DUMONT [O-L]","2017-01",2281
"216","01385249",-38.499902,-3.735787,"AV. SANTOS DUMONT [O-L]","2017-01",2281
"217","01385250",-38.498818,-3.73614,"AV. SANTOS DUMONT [O-L]","2017-01",3097
"218","01385250",-38.498818,-3.736137,"AV. SANTOS DUMONT [O-L]","2017-01",3097
"219","01385251",-38.497831,-3.736464,"AV. SANTOS DUMONT [O-L]","2017-01",2619
"220","01385251",-38.497831,-3.73646,"AV. SANTOS DUMONT [O-L]","2017-01",2619
"221","01385252",-38.496983,-3.73674,"AV. SANTOS DUMONT [O-L]","2017-01",1623
"222","01385252",-38.496983,-3.736738,"AV. SANTOS DUMONT [O-L]","2017-01",1623
"223","01385253",-38.495918,-3.737083,"AV. SANTOS DUMONT [O-L]","2017-01",2494
"224","01385253",-38.495918,-3.73708,"AV. SANTOS DUMONT [O-L]","2017-01",2494
"225","01385254",-38.494942,-3.7374,"AV. SANTOS DUMONT [O-L]","2017-01",1918
"226","01385255",-38.493956,-3.737724,"AV. SANTOS DUMONT [O-L]","2017-01",2815
"227","01385255",-38.493956,-3.73772,"AV. SANTOS DUMONT [O-L]","2017-01",2815
"228","01385256",-38.493031,-3.738022,"AV. SANTOS DUMONT [O-L]","2017-01",1570
"229","01385256",-38.493031,-3.73802,"AV. SANTOS DUMONT [O-L]","2017-01",1570
"230","01385257",-38.492078,-3.738331,"AV. SANTOS DUMONT [O-L]","2017-01",4130
"231","01385257",-38.492078,-3.73833,"AV. SANTOS DUMONT [O-L]","2017-01",4130
"232","01385258",-38.491094,-3.738651,"AV. SANTOS DUMONT [O-L]","2017-01",1821
"233","01385258",-38.491094,-3.73865,"AV. SANTOS DUMONT [O-L]","2017-01",1821
"234","01385259",-38.490138,-3.73895,"AV. SANTOS DUMONT [O-L]","2017-01",1877
"235","01385259",-38.490138,-3.738949,"AV. SANTOS DUMONT [O-L]","2017-01",1877
"236","01385261",-38.486384,-3.73582,"AV. JULIO ABREU [L-O]","2017-01",2344
"237","01385261",-38.486384,-3.735816,"AV. JULIO ABREU [L-O]","2017-01",2344
"238","01385262",-38.487645,-3.73587,"AV. JULIO ABREU [L-O]","2017-01",2582
"239","01385262",-38.487645,-3.735865,"AV. JULIO ABREU [L-O]","2017-01",2582
"240","01385264",-38.488919,-3.735922,"AV. DOM LUIS [L-O]","2017-01",5048
"241","01385264",-38.488919,-3.73592,"AV. DOM LUIS [L-O]","2017-01",5048
"242","01385265",-38.48997,-3.73562,"AV. DOM LUIS [L-O]","2017-01",2322
"243","01385265",-38.48997,-3.735615,"AV. DOM LUIS [L-O]","2017-01",2322
"244","01385266",-38.491024,-3.735272,"AV. DOM LUIS [L-O]","2017-01",2665
"245","01385266",-38.491024,-3.73527,"AV. DOM LUIS [L-O]","2017-01",2665
"246","01385267",-38.491864,-3.735,"AV. DOM LUIS [L-O]","2017-01",4545
"247","01385268",-38.492929,-3.73465,"AV. DOM LUIS [L-O]","2017-01",4203
"248","01385269",-38.494023,-3.734294,"AV. DOM LUIS [L-O]","2017-01",2328
"249","01385269",-38.494023,-3.73429,"AV. DOM LUIS [L-O]","2017-01",2328
"250","01385270",-38.494939,-3.733991,"AV. DOM LUIS [L-O]","2017-01",2772
"251","01385270",-38.494939,-3.73399,"AV. DOM LUIS [L-O]","2017-01",2772
"252","01385271",-38.495974,-3.73367,"AV. DOM LUIS [L-O]","2017-01",2593
"253","01385271",-38.495974,-3.733667,"AV. DOM LUIS [L-O]","2017-01",2593
"254","01385272",-38.496625,-3.733451,"AV. DOM LUIS [L-O]","2017-01",3990
"255","01385272",-38.496625,-3.73345,"AV. DOM LUIS [L-O]","2017-01",3990
"256","01385274",-38.498914,-3.732732,"AV. DOM LUIS [L-O]","2017-01",2098
"257","01385274",-38.498914,-3.73273,"AV. DOM LUIS [L-O]","2017-01",2098
"258","01385275",-38.499817,-3.732432,"AV. DOM LUIS [L-O]","2017-01",3042
"259","01385275",-38.499817,-3.73243,"AV. DOM LUIS [L-O]","2017-01",3042
"260","01385276",-38.500791,-3.73212,"AV. DOM LUIS [L-O]","2017-01",3133
"261","01385276",-38.500791,-3.732118,"AV. DOM LUIS [L-O]","2017-01",3133
"262","01385277",-38.475231,-3.743753,"AV. SANTOS DUMONT [O-L]","2017-01",18442
