 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Causa - CID-BR-10: . 104 Acidentes de transporte
Período:2010-2019
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"110130 Mirante da Serra";-;-;3;2;7;6;2;1;1;1;23
"110140 Monte Negro";-;2;3;3;6;2;-;1;-;1;18
"110014 Nova Brasilândia D'Oeste";2;3;3;4;3;2;5;5;3;1;31
"110033 Nova Mamoré";4;5;3;6;7;7;5;8;7;4;56
"110143 Nova União";2;-;2;-;-;-;1;3;-;-;8
"110050 Novo Horizonte do Oeste";6;3;1;3;3;2;2;1;3;-;24
"110015 Ouro Preto do Oeste";9;13;8;12;14;7;17;18;9;11;118
"110145 Parecis";-;1;-;2;1;-;-;1;-;-;5
"110018 Pimenta Bueno";19;12;10;18;10;14;15;21;8;5;132
"110146 Pimenteiras do Oeste";-;-;-;1;-;-;-;-;-;-;1
"110020 Porto Velho";260;245;269;205;204;178;139;122;126;106;1854
"110025 Presidente Médici";6;6;6;-;12;9;7;8;7;2;63
"110147 Primavera de Rondônia";2;-;-;-;-;-;-;-;-;-;2
"110026 Rio Crespo";-;1;1;-;-;-;-;-;-;-;2
"110028 Rolim de Moura";19;13;28;16;21;13;11;11;10;8;150
"110029 Santa Luzia D'Oeste";2;2;1;2;1;3;1;3;1;-;16
"110148 São Felipe D'Oeste";1;-;1;-;1;-;2;1;-;-;6
"110149 São Francisco do Guaporé";6;6;12;5;6;6;6;4;2;7;60
"110032 São Miguel do Guaporé";4;4;6;9;5;11;7;8;5;1;60
"110150 Seringueiras";2;3;4;7;3;5;6;5;2;3;40
"110155 Teixeirópolis";-;1;-;1;1;-;1;-;1;-;5
"110160 Theobroma";2;2;3;2;2;-;-;1;-;-;12
"110170 Urupá";-;-;6;-;2;1;1;3;2;3;18
"110175 Vale do Anari";3;9;4;2;1;2;4;-;-;2;27
"110180 Vale do Paraíso";1;3;1;-;3;1;1;1;-;1;12
